지역명,평당분양가격,월,연도
서울,18189.0,12,
부산,8111.0,12,
대구,8080.0,12,
인천,10204.0,12,
광주,6098.0,12,
대전,8321.0,12,
울산,8090.0,12,
경기,10855.0,12,
세종,7601.0,12,
강원,6230.0,12,
충북,6589.0,12,
충남,6365.0,12,
전북,6282.0,12,
전남,5678.0,12,
경북,6168.0,12,
경남,6473.0,12,
제주,7674.0,12,
서울,17925.0,1,
부산,8111.0,1,
대구,8080.0,1,
인천,10204.0,1,
광주,7326.0,1,
대전,8321.0,1,
울산,8090.0,1,
경기,10855.0,1,
세종,7600.0,1,
강원,6230.0,1,
충북,6589.0,1,
충남,6365.0,1,
전북,6281.0,1,
전남,5678.0,1,
경북,6168.0,1,
경남,6485.0,1,
제주,7900.0,1,
서울,17925.0,2,
부산,9078.0,2,
대구,8077.0,2,
인천,10408.0,2,
광주,7611.0,2,
대전,8321.0,2,
울산,8090.0,2,
경기,10791.0,2,
세종,7532.0,2,
강원,6230.0,2,
충북,6611.0,2,
충남,6379.0,2,
전북,5946.0,2,
전남,5678.0,2,
경북,6234.0,2,
경남,6502.0,2,
제주,7900.0,2,
서울,18016.0,3,
부산,8965.0,3,
대구,8101.0,3,
인천,10408.0,3,
광주,7346.0,3,
대전,8341.0,3,
울산,8153.0,3,
경기,10784.0,3,
세종,7814.0,3,
강원,6141.0,3,
충북,6625.0,3,
충남,6287.0,3,
전북,5966.0,3,
전남,5696.0,3,
경북,6317.0,3,
경남,6610.0,3,
제주,7900.0,3,
서울,18098.0,4,
부산,9402.0,4,
대구,8267.0,4,
인천,10000.0,4,
광주,7346.0,4,
대전,8341.0,4,
울산,8153.0,4,
경기,10876.0,4,
세종,7908.0,4,
강원,6373.0,4,
충북,6678.0,4,
충남,6552.0,4,
전북,6277.0,4,
전남,5736.0,4,
경북,6412.0,4,
경남,6599.0,4,
제주,7900.0,4,
서울,19446.0,5,
부산,9501.0,5,
대구,8274.0,5,
인천,9844.0,5,
광주,7523.0,5,
대전,8341.0,5,
울산,8153.0,5,
경기,10646.0,5,
세종,7934.0,5,
강원,6350.0,5,
충북,6598.0,5,
충남,6591.0,5,
전북,6306.0,5,
전남,5656.0,5,
경북,6409.0,5,
경남,6610.0,5,
제주,7900.0,5,
서울,18867.0,6,
부산,9453.0,6,
대구,8360.0,6,
인천,10058.0,6,
광주,7659.0,6,
대전,8333.0,6,
울산,8153.0,6,
경기,10266.0,6,
세종,8067.0,6,
강원,6350.0,6,
충북,6587.0,6,
충남,6644.0,6,
전북,6351.0,6,
전남,5609.0,6,
경북,6554.0,6,
경남,6615.0,6,
제주,7914.0,6,
서울,18742.0,7,
부산,9457.0,7,
대구,8360.0,7,
인천,9974.0,7,
광주,7612.0,7,
대전,8333.0,7,
울산,8153.0,7,
경기,10124.0,7,
세종,8067.0,7,
강원,6268.0,7,
충북,6586.0,7,
충남,6805.0,7,
전북,6319.0,7,
전남,5780.0,7,
경북,6556.0,7,
경남,6613.0,7,
제주,7914.0,7,
서울,19274.0,8,
부산,9411.0,8,
대구,8370.0,8,
인천,9973.0,8,
광주,7622.0,8,
대전,8333.0,8,
울산,8493.0,8,
경기,10134.0,8,
세종,8141.0,8,
강원,6268.0,8,
충북,6586.0,8,
충남,6914.0,8,
전북,6436.0,8,
전남,5685.0,8,
경북,6563.0,8,
경남,6606.0,8,
제주,7914.0,8,
서울,19404.0,9,
부산,9258.0,9,
대구,8449.0,9,
인천,9973.0,9,
광주,7802.0,9,
대전,8048.0,9,
울산,8493.0,9,
경기,10501.0,9,
세종,8282.0,9,
강원,6419.0,9,
충북,6584.0,9,
충남,6882.0,9,
전북,6719.0,9,
전남,5804.0,9,
경북,6577.0,9,
경남,6767.0,9,
제주,7833.0,9,
서울,19759.0,10,
부산,9110.0,10,
대구,8403.0,10,
인천,10016.0,10,
광주,7707.0,10,
대전,8038.0,10,
울산,8627.0,10,
경기,10397.0,10,
세종,8527.0,10,
강원,6631.0,10,
충북,6529.0,10,
충남,6831.0,10,
전북,6581.0,10,
전남,5753.0,10,
경북,6778.0,10,
경남,6881.0,10,
제주,7724.0,10,
서울,20242.0,11,
부산,9208.0,11,
대구,8439.0,11,
인천,10020.0,11,
광주,7752.0,11,
대전,8067.0,11,
울산,8891.0,11,
경기,10356.0,11,
세종,8592.0,11,
강원,6365.0,11,
충북,6724.0,11,
충남,6940.0,11,
전북,6583.0,11,
전남,5768.0,11,
경북,6881.0,11,
경남,7125.0,11,
제주,7724.0,11,
서울,20269.0,12,
부산,9208.0,12,
대구,8253.0,12,
인천,10020.0,12,
광주,7748.0,12,
대전,8067.0,12,
울산,8891.0,12,
경기,10379.0,12,
세종,8560.0,12,
강원,6365.0,12,
충북,6743.0,12,
충남,6989.0,12,
전북,6583.0,12,
전남,5784.0,12,
경북,6989.0,12,
경남,7332.0,12,
제주,7739.0,12,
서울,20670.0,1,
부산,9204.0,1,
대구,8327.0,1,
인천,10017.0,1,
광주,7752.0,1,
대전,8067.0,1,
울산,8526.0,1,
경기,10391.0,1,
세종,8560.0,1,
강원,6348.0,1,
충북,6749.0,1,
충남,6976.0,1,
전북,6583.0,1,
전남,5784.0,1,
경북,6992.0,1,
경남,7592.0,1,
제주,7739.0,1,
서울,20670.0,2,
부산,9235.0,2,
대구,8416.0,2,
인천,9876.0,2,
광주,7756.0,2,
대전,8067.0,2,
울산,8526.0,2,
경기,10355.0,2,
세종,8560.0,2,
강원,6350.0,2,
충북,6747.0,2,
충남,6980.0,2,
전북,6583.0,2,
전남,5833.0,2,
경북,6953.0,2,
경남,7588.0,2,
제주,7739.0,2,
서울,19415.0,3,
부산,9279.0,3,
대구,8441.0,3,
인천,9876.0,3,
광주,7861.0,3,
대전,8067.0,3,
울산,8629.0,3,
경기,10469.0,3,
세종,8555.0,3,
강원,6182.0,3,
충북,6783.0,3,
충남,7161.0,3,
전북,6542.0,3,
전남,5825.0,3,
경북,6997.0,3,
경남,7668.0,3,
제주,7826.0,3,
서울,18842.0,4,
부산,9327.0,4,
대구,8446.0,4,
인천,9938.0,4,
광주,7914.0,4,
대전,8145.0,4,
울산,9380.0,4,
경기,10684.0,4,
세종,8546.0,4,
강원,6924.0,4,
충북,6790.0,4,
충남,7017.0,4,
전북,6551.0,4,
전남,5940.0,4,
경북,7006.0,4,
경남,7683.0,4,
제주,7285.0,4,
서울,18367.0,5,
부산,9345.0,5,
대구,8568.0,5,
인천,10551.0,5,
광주,7877.0,5,
대전,8272.0,5,
울산,9192.0,5,
경기,10685.0,5,
세종,8546.0,5,
강원,6846.0,5,
충북,6805.0,5,
충남,6975.0,5,
전북,6556.0,5,
전남,6050.0,5,
경북,6966.0,5,
경남,7717.0,5,
제주,7285.0,5,
서울,18374.0,6,
부산,9515.0,6,
대구,8542.0,6,
인천,10443.0,6,
광주,7881.0,6,
대전,8079.0,6,
울산,9190.0,6,
경기,10573.0,6,
세종,8671.0,6,
강원,6986.0,6,
충북,6682.0,6,
충남,6939.0,6,
전북,6601.0,6,
전남,6243.0,6,
경북,6887.0,6,
경남,7715.0,6,
제주,7343.0,6,
서울,18152.0,7,
부산,9559.0,7,
대구,8542.0,7,
인천,10443.0,7,
광주,8089.0,7,
대전,8079.0,7,
울산,9190.0,7,
경기,10518.0,7,
세종,8669.0,7,
강원,7019.0,7,
충북,6601.0,7,
충남,6935.0,7,
전북,6750.0,7,
전남,6286.0,7,
경북,7035.0,7,
경남,7723.0,7,
제주,7343.0,7,
서울,18443.0,8,
부산,9581.0,8,
대구,8795.0,8,
인천,10449.0,8,
광주,8231.0,8,
대전,8079.0,8,
울산,9215.0,8,
경기,10573.0,8,
세종,8695.0,8,
강원,7008.0,8,
충북,6603.0,8,
충남,6942.0,8,
전북,6580.0,8,
전남,6289.0,8,
경북,7037.0,8,
경남,7665.0,8,
제주,7343.0,8,
서울,19275.3,10,2015.0
인천,10437.9,10,2015.0
경기,10355.4,10,2015.0
부산,10269.6,10,2015.0
대구,8850.6,10,2015.0
광주,7986.0,10,2015.0
대전,8098.2,10,2015.0
울산,10074.9,10,2015.0
세종,8718.6,10,2015.0
강원,7151.099999999999,10,2015.0
충북,6705.599999999999,10,2015.0
충남,6926.7,10,2015.0
전북,6778.2,10,2015.0
전남,6352.5,10,2015.0
경북,7088.4,10,2015.0
경남,7560.299999999999,10,2015.0
제주,7365.599999999999,10,2015.0
서울,19965.0,11,2015.0
인천,10507.2,11,2015.0
경기,10223.4,11,2015.0
부산,10332.3,11,2015.0
대구,9071.7,11,2015.0
광주,7999.2,11,2015.0
대전,8098.2,11,2015.0
울산,10041.9,11,2015.0
세종,8738.4,11,2015.0
강원,7164.299999999999,11,2015.0
충북,6613.2,11,2015.0
충남,6930.0,11,2015.0
전북,6788.099999999999,11,2015.0
전남,6299.7,11,2015.0
경북,7227.0,11,2015.0
경남,7583.4,11,2015.0
제주,7365.599999999999,11,2015.0
서울,19935.3,12,2015.0
인천,10507.2,12,2015.0
경기,10553.4,12,2015.0
부산,10319.1,12,2015.0
대구,9774.6,12,2015.0
광주,8170.799999999999,12,2015.0
대전,8098.2,12,2015.0
울산,10041.9,12,2015.0
세종,8794.5,12,2015.0
강원,7164.299999999999,12,2015.0
충북,6616.5,12,2015.0
충남,7487.7,12,2015.0
전북,6543.9,12,2015.0
전남,6299.7,12,2015.0
경북,7197.299999999999,12,2015.0
경남,7613.099999999999,12,2015.0
제주,7484.4,12,2015.0
서울,20156.4,1,2016.0
인천,10530.3,1,2016.0
경기,10553.4,1,2016.0
부산,10401.6,1,2016.0
대구,10183.8,1,2016.0
광주,8477.699999999999,1,2016.0
대전,8098.2,1,2016.0
울산,10051.8,1,2016.0
세종,8794.5,1,2016.0
강원,7170.9,1,2016.0
충북,6626.4,1,2016.0
충남,7491.0,1,2016.0
전북,6534.0,1,2016.0
전남,6299.7,1,2016.0
경북,7197.299999999999,1,2016.0
경남,7679.099999999999,1,2016.0
제주,7484.4,1,2016.0
서울,20166.3,2,2016.0
인천,10533.6,2,2016.0
경기,10622.7,2,2016.0
부산,10408.2,2,2016.0
대구,10111.2,2,2016.0
광주,8477.699999999999,2,2016.0
대전,8098.2,2,2016.0
울산,10051.8,2,2016.0
세종,8794.5,2,2016.0
강원,7170.9,2,2016.0
충북,6626.4,2,2016.0
충남,7497.599999999999,2,2016.0
전북,6534.0,2,2016.0
전남,6345.9,2,2016.0
경북,7190.7,2,2016.0
경남,7781.4,2,2016.0
제주,7484.4,2,2016.0
서울,20370.9,3,2016.0
인천,10527.0,3,2016.0
경기,10609.5,3,2016.0
부산,10487.4,3,2016.0
대구,10292.7,3,2016.0
광주,8547.0,3,2016.0
대전,8098.2,3,2016.0
울산,10117.8,3,2016.0
세종,8811.0,3,2016.0
강원,7240.2,3,2016.0
충북,6534.0,3,2016.0
충남,6979.5,3,2016.0
전북,6438.299999999999,3,2016.0
전남,6339.299999999999,3,2016.0
경북,7190.7,3,2016.0
경남,7863.9,3,2016.0
제주,7636.2,3,2016.0
서울,20595.3,4,2016.0
인천,10685.4,4,2016.0
경기,10556.7,4,2016.0
부산,10457.7,4,2016.0
대구,10335.6,4,2016.0
광주,8910.0,4,2016.0
대전,8081.7,4,2016.0
울산,10137.6,4,2016.0
세종,8844.0,4,2016.0
강원,7062.0,4,2016.0
충북,6494.4,4,2016.0
충남,7157.7,4,2016.0
전북,6299.7,4,2016.0
전남,6352.5,4,2016.0
경북,7184.099999999999,4,2016.0
경남,7890.299999999999,4,2016.0
제주,8972.699999999999,4,2016.0
서울,20671.2,5,2016.0
인천,10490.7,5,2016.0
경기,11361.9,5,2016.0
부산,10388.4,5,2016.0
대구,10335.6,5,2016.0
광주,8982.6,5,2016.0
대전,8134.5,5,2016.0
울산,10154.1,5,2016.0
세종,8844.0,5,2016.0
강원,6986.099999999999,5,2016.0
충북,6534.0,5,2016.0
충남,7147.799999999999,5,2016.0
전북,6418.5,5,2016.0
전남,6359.099999999999,5,2016.0
경북,7180.799999999999,5,2016.0
경남,7857.299999999999,5,2016.0
제주,8880.3,5,2016.0
서울,20486.4,6,2016.0
인천,10573.2,6,2016.0
경기,11688.6,6,2016.0
부산,10395.0,6,2016.0
대구,10342.2,6,2016.0
광주,9032.1,6,2016.0
대전,8454.6,6,2016.0
울산,10127.7,6,2016.0
세종,8853.9,6,2016.0
강원,6943.2,6,2016.0
충북,6755.099999999999,6,2016.0
충남,7253.4,6,2016.0
전북,6372.299999999999,6,2016.0
전남,6494.4,6,2016.0
경북,7385.4,6,2016.0
경남,7883.7,6,2016.0
제주,9329.1,6,2016.0
서울,20638.2,7,2016.0
인천,10632.6,7,2016.0
경기,11652.3,7,2016.0
부산,10421.4,7,2016.0
대구,10329.0,7,2016.0
광주,9048.6,7,2016.0
대전,8454.6,7,2016.0
울산,10127.7,7,2016.0
세종,8867.1,7,2016.0
강원,6933.299999999999,7,2016.0
충북,6847.5,7,2016.0
충남,7253.4,7,2016.0
전북,6365.7,7,2016.0
전남,6494.4,7,2016.0
경북,7418.4,7,2016.0
경남,7837.5,7,2016.0
제주,9329.1,7,2016.0
서울,20740.5,8,2016.0
인천,10675.5,8,2016.0
경기,11751.3,8,2016.0
부산,10510.5,8,2016.0
대구,10385.1,8,2016.0
광주,8995.8,8,2016.0
대전,8454.6,8,2016.0
울산,9820.8,8,2016.0
세종,8890.199999999999,8,2016.0
강원,6923.4,8,2016.0
충북,7009.2,8,2016.0
충남,7375.5,8,2016.0
전북,6365.7,8,2016.0
전남,6487.799999999999,8,2016.0
경북,7385.4,8,2016.0
경남,7867.2,8,2016.0
제주,9497.4,8,2016.0
서울,20733.9,9,2016.0
인천,10454.4,9,2016.0
경기,11088.0,9,2016.0
부산,10560.0,9,2016.0
대구,10385.1,9,2016.0
광주,8979.3,9,2016.0
대전,8306.1,9,2016.0
울산,9820.8,9,2016.0
세종,8873.699999999999,9,2016.0
강원,6930.0,9,2016.0
충북,7012.5,9,2016.0
충남,7378.799999999999,9,2016.0
전북,6352.5,9,2016.0
전남,6507.599999999999,9,2016.0
경북,7428.299999999999,9,2016.0
경남,7890.299999999999,9,2016.0
제주,10173.9,9,2016.0
서울,21120.0,10,2016.0
인천,10553.4,10,2016.0
경기,11322.3,10,2016.0
부산,10220.1,10,2016.0
대구,10385.1,10,2016.0
광주,8992.5,10,2016.0
대전,10117.8,10,2016.0
울산,10576.5,10,2016.0
세종,8910.0,10,2016.0
강원,7052.099999999999,10,2016.0
충북,6923.4,10,2016.0
충남,7415.099999999999,10,2016.0
전북,6359.099999999999,10,2016.0
전남,6540.599999999999,10,2016.0
경북,7570.2,10,2016.0
경남,7959.599999999999,10,2016.0
제주,10173.9,10,2016.0
서울,21021.0,11,2016.0
인천,10398.3,11,2016.0
경기,11701.8,11,2016.0
부산,10173.9,11,2016.0
대구,10259.7,11,2016.0
광주,9157.5,11,2016.0
대전,8860.5,11,2016.0
울산,10758.0,11,2016.0
세종,8916.6,11,2016.0
강원,6834.299999999999,11,2016.0
충북,7012.5,11,2016.0
충남,7514.099999999999,11,2016.0
전북,6362.4,11,2016.0
전남,6784.799999999999,11,2016.0
경북,7570.2,11,2016.0
경남,7784.7,11,2016.0
제주,10253.1,11,2016.0
서울,21261.9,12,2016.0
인천,10335.6,12,2016.0
경기,11731.5,12,2016.0
부산,10734.9,12,2016.0
대구,10375.2,12,2016.0
광주,9183.9,12,2016.0
대전,8860.5,12,2016.0
울산,10758.0,12,2016.0
세종,8926.5,12,2016.0
강원,6887.099999999999,12,2016.0
충북,6867.299999999999,12,2016.0
충남,7504.2,12,2016.0
전북,6613.2,12,2016.0
전남,6857.4,12,2016.0
경북,7626.299999999999,12,2016.0
경남,7880.4,12,2016.0
제주,10335.6,12,2016.0
서울,21285.0,1,2017.0
인천,10335.6,1,2017.0
경기,11728.2,1,2017.0
부산,10705.2,1,2017.0
대구,10299.3,1,2017.0
광주,9167.4,1,2017.0
대전,8860.5,1,2017.0
울산,10758.0,1,2017.0
세종,8926.5,1,2017.0
강원,6880.5,1,2017.0
충북,6946.5,1,2017.0
충남,7375.5,1,2017.0
전북,6619.799999999999,1,2017.0
전남,6857.4,1,2017.0
경북,7629.599999999999,1,2017.0
경남,7887.0,1,2017.0
제주,10309.2,1,2017.0
서울,21331.2,2,2017.0
인천,10451.1,2,2017.0
경기,11903.1,2,2017.0
부산,10701.9,2,2017.0
대구,10421.4,2,2017.0
광주,9167.4,2,2017.0
대전,8979.3,2,2017.0
울산,10767.9,2,2017.0
세종,8926.5,2,2017.0
강원,6897.0,2,2017.0
충북,6745.2,2,2017.0
충남,7378.799999999999,2,2017.0
전북,6629.7,2,2017.0
전남,6906.9,2,2017.0
경북,7613.099999999999,2,2017.0
경남,7867.2,2,2017.0
제주,10342.2,2,2017.0
서울,21021.0,3,2017.0
인천,10490.7,3,2017.0
경기,11985.6,3,2017.0
부산,10857.0,3,2017.0
대구,10560.0,3,2017.0
광주,9183.9,3,2017.0
대전,8979.3,3,2017.0
울산,10767.9,3,2017.0
세종,8926.5,3,2017.0
강원,6824.4,3,2017.0
충북,6520.799999999999,3,2017.0
충남,7382.099999999999,3,2017.0
전북,6745.2,3,2017.0
전남,6897.0,3,2017.0
경북,7560.299999999999,3,2017.0
경남,7943.099999999999,3,2017.0
제주,10220.1,3,2017.0
서울,21007.8,4,2017.0
인천,10490.7,4,2017.0
경기,11893.2,4,2017.0
부산,10853.7,4,2017.0
대구,10490.7,4,2017.0
광주,9418.2,4,2017.0
대전,9038.7,4,2017.0
울산,11807.4,4,2017.0
세종,9005.699999999999,4,2017.0
강원,6824.4,4,2017.0
충북,6732.0,4,2017.0
충남,7329.299999999999,4,2017.0
전북,6946.5,4,2017.0
전남,6949.799999999999,4,2017.0
경북,7649.4,4,2017.0
경남,7923.299999999999,4,2017.0
제주,10965.9,4,2017.0
서울,21120.0,5,2017.0
인천,10860.3,5,2017.0
경기,11464.2,5,2017.0
부산,11711.7,5,2017.0
대구,10490.7,5,2017.0
광주,9537.0,5,2017.0
대전,9038.7,5,2017.0
울산,11807.4,5,2017.0
세종,9005.699999999999,5,2017.0
강원,6877.2,5,2017.0
충북,6765.0,5,2017.0
충남,7332.599999999999,5,2017.0
전북,7029.0,5,2017.0
전남,7144.5,5,2017.0
경북,7797.9,5,2017.0
경남,7979.4,5,2017.0
제주,11414.7,5,2017.0
서울,22001.1,6,2017.0
인천,10975.8,6,2017.0
경기,11513.7,6,2017.0
부산,11932.8,6,2017.0
대구,10711.8,6,2017.0
광주,9609.6,6,2017.0
대전,9038.7,6,2017.0
울산,11820.6,6,2017.0
세종,9018.9,6,2017.0
강원,7032.299999999999,6,2017.0
충북,6741.9,6,2017.0
충남,7504.2,6,2017.0
전북,7263.299999999999,6,2017.0
전남,7085.099999999999,6,2017.0
경북,7863.9,6,2017.0
경남,8065.2,6,2017.0
제주,10804.2,6,2017.0
서울,21690.9,7,2017.0
인천,10962.6,7,2017.0
경기,11975.7,7,2017.0
부산,11926.2,7,2017.0
대구,12771.0,7,2017.0
광주,9550.2,7,2017.0
대전,9035.4,7,2017.0
울산,11820.6,7,2017.0
세종,9018.9,7,2017.0
강원,7081.799999999999,7,2017.0
충북,6741.9,7,2017.0
충남,7507.5,7,2017.0
전북,7243.5,7,2017.0
전남,7085.099999999999,7,2017.0
경북,7860.599999999999,7,2017.0
경남,8134.5,7,2017.0
제주,11005.5,7,2017.0
서울,20367.6,8,2017.0
인천,10800.9,8,2017.0
경기,12015.3,8,2017.0
부산,11843.7,8,2017.0
대구,13180.2,8,2017.0
광주,9579.9,8,2017.0
대전,9035.4,8,2017.0
울산,11820.6,8,2017.0
세종,9022.2,8,2017.0
강원,7484.4,8,2017.0
충북,6765.0,8,2017.0
충남,7448.099999999999,8,2017.0
전북,7289.7,8,2017.0
전남,7306.2,8,2017.0
경북,8055.299999999999,8,2017.0
경남,8299.5,8,2017.0
제주,11005.5,8,2017.0
서울,21473.1,9,2017.0
인천,10896.6,9,2017.0
경기,11972.4,9,2017.0
부산,11860.2,9,2017.0
대구,12668.7,9,2017.0
광주,9718.5,9,2017.0
대전,9550.2,9,2017.0
울산,11820.6,9,2017.0
세종,9101.4,9,2017.0
강원,7375.5,9,2017.0
충북,6778.2,9,2017.0
충남,7448.099999999999,9,2017.0
전북,7322.7,9,2017.0
전남,7306.2,9,2017.0
경북,8015.7,9,2017.0
경남,8283.0,9,2017.0
제주,10632.6,9,2017.0
서울,21707.4,10,2017.0
인천,10890.0,10,2017.0
경기,11962.5,10,2017.0
부산,12285.9,10,2017.0
대구,12668.7,10,2017.0
광주,9609.6,10,2017.0
대전,9005.699999999999,10,2017.0
울산,11170.5,10,2017.0
세종,9104.7,10,2017.0
강원,7520.7,10,2017.0
충북,6798.0,10,2017.0
충남,7533.9,10,2017.0
전북,7200.599999999999,10,2017.0
전남,7606.5,10,2017.0
경북,7811.099999999999,10,2017.0
경남,8038.799999999999,10,2017.0
제주,10632.6,10,2017.0
서울,21968.1,11,2017.0
인천,10890.0,11,2017.0
경기,11738.1,11,2017.0
부산,12606.0,11,2017.0
대구,12071.4,11,2017.0
광주,9553.5,11,2017.0
대전,9180.6,11,2017.0
울산,11134.2,11,2017.0
세종,9108.0,11,2017.0
강원,7652.7,11,2017.0
충북,6854.099999999999,11,2017.0
충남,7451.4,11,2017.0
전북,7260.0,11,2017.0
전남,7883.7,11,2017.0
경북,7887.0,11,2017.0
경남,8649.3,11,2017.0
제주,11748.0,11,2017.0
서울,22129.8,12,2017.0
인천,10949.4,12,2017.0
경기,11936.1,12,2017.0
부산,12678.6,12,2017.0
대구,11751.3,12,2017.0
광주,9556.8,12,2017.0
대전,8929.8,12,2017.0
울산,10434.6,12,2017.0
세종,10431.3,12,2017.0
강원,7596.599999999999,12,2017.0
충북,6854.099999999999,12,2017.0
충남,7778.099999999999,12,2017.0
전북,7345.799999999999,12,2017.0
전남,7920.0,12,2017.0
경북,7887.0,12,2017.0
경남,8896.8,12,2017.0
제주,11807.4,12,2017.0
서울,21855.9,1,2018.0
인천,10998.9,1,2018.0
경기,12691.8,1,2018.0
부산,12678.6,1,2018.0
대구,11830.5,1,2018.0
광주,9550.2,1,2018.0
대전,9055.2,1,2018.0
울산,10434.6,1,2018.0
세종,10431.3,1,2018.0
강원,7669.2,1,2018.0
충북,6854.099999999999,1,2018.0
충남,7900.2,1,2018.0
전북,7345.799999999999,1,2018.0
전남,7920.0,1,2018.0
경북,8055.299999999999,1,2018.0
경남,8896.8,1,2018.0
제주,11998.8,1,2018.0
서울,21882.3,2,2018.0
인천,11028.6,2,2018.0
경기,12790.8,2,2018.0
부산,12705.0,2,2018.0
대구,11101.2,2,2018.0
광주,9550.2,2,2018.0
대전,9527.1,2,2018.0
울산,10474.2,2,2018.0
세종,10431.3,2,2018.0
강원,7665.9,2,2018.0
충북,7147.799999999999,2,2018.0
충남,7900.2,2,2018.0
전북,7500.9,2,2018.0
전남,7774.799999999999,2,2018.0
경북,8055.299999999999,2,2018.0
경남,8903.4,2,2018.0
제주,12635.7,2,2018.0
서울,22558.8,3,2018.0
인천,11408.1,3,2018.0
경기,12790.8,3,2018.0
부산,12596.1,3,2018.0
대구,11193.6,3,2018.0
광주,9669.0,3,2018.0
대전,9527.1,3,2018.0
울산,10474.2,3,2018.0
세종,10431.3,3,2018.0
강원,7890.299999999999,3,2018.0
충북,8101.5,3,2018.0
충남,7900.2,3,2018.0
전북,7467.9,3,2018.0
전남,7748.4,3,2018.0
경북,8052.0,3,2018.0
경남,8900.1,3,2018.0
제주,12952.5,3,2018.0
서울,22575.3,4,2018.0
인천,11408.1,4,2018.0
경기,12734.7,4,2018.0
부산,12747.9,4,2018.0
대구,11629.2,4,2018.0
광주,9520.5,4,2018.0
대전,9807.6,4,2018.0
울산,10474.2,4,2018.0
세종,10332.3,4,2018.0
강원,7514.099999999999,4,2018.0
충북,8682.3,4,2018.0
충남,7900.2,4,2018.0
전북,7646.099999999999,4,2018.0
전남,7771.5,4,2018.0
경북,8052.0,4,2018.0
경남,8877.0,4,2018.0
제주,12952.5,4,2018.0
서울,22832.7,5,2018.0
인천,11338.8,5,2018.0
경기,13157.1,5,2018.0
부산,12714.9,5,2018.0
대구,12048.3,5,2018.0
광주,9589.8,5,2018.0
대전,9807.6,5,2018.0
울산,10474.2,5,2018.0
세종,10332.3,5,2018.0
강원,7553.7,5,2018.0
충북,8698.8,5,2018.0
충남,8094.9,5,2018.0
전북,7675.799999999999,5,2018.0
전남,7774.799999999999,5,2018.0
경북,8672.4,5,2018.0
경남,8893.5,5,2018.0
제주,12952.5,5,2018.0
서울,22090.2,6,2018.0
인천,11127.6,6,2018.0
경기,12959.1,6,2018.0
부산,12817.2,6,2018.0
대구,12107.7,6,2018.0
광주,9900.0,6,2018.0
대전,9807.6,6,2018.0
울산,10312.5,6,2018.0
세종,10332.3,6,2018.0
강원,7563.599999999999,6,2018.0
충북,7873.799999999999,6,2018.0
